"","Date","variable","value"
"1",1979,"North Sea Ice Level",1.61
"2",1980,"North Sea Ice Level",1.55
"3",1981,"North Sea Ice Level",1.41
"4",1982,"North Sea Ice Level",1.71
"5",1983,"North Sea Ice Level",1.76
"6",1984,"North Sea Ice Level",1.34
"7",1985,"North Sea Ice Level",0.97
"8",1986,"North Sea Ice Level",1.55
"9",1987,"North Sea Ice Level",1.2
"10",1988,"North Sea Ice Level",1.46
"11",1989,"North Sea Ice Level",1.45
"12",1990,"North Sea Ice Level",0.37
"13",1991,"North Sea Ice Level",0.99
"14",1992,"North Sea Ice Level",1.5
"15",1993,"North Sea Ice Level",0.9
"16",1994,"North Sea Ice Level",1.21
"17",1995,"North Sea Ice Level",0.31
"18",1996,"North Sea Ice Level",1.75
"19",1997,"North Sea Ice Level",0.86
"20",1998,"North Sea Ice Level",1.08
"21",1999,"North Sea Ice Level",0.8
"22",2000,"North Sea Ice Level",0.74
"23",2001,"North Sea Ice Level",1.03
"24",2002,"North Sea Ice Level",0.17
"25",2003,"North Sea Ice Level",0.51
"26",2004,"North Sea Ice Level",0.42
"27",2005,"North Sea Ice Level",-0.13
"28",2006,"North Sea Ice Level",0.07
"29",2007,"North Sea Ice Level",-1.09
"30",2008,"North Sea Ice Level",-0.52
"31",2009,"North Sea Ice Level",-0.29
"32",2010,"North Sea Ice Level",-0.56
"33",2011,"North Sea Ice Level",-0.93
"34",2012,"North Sea Ice Level",-1.71
"35",2013,"North Sea Ice Level",-0.42
"36",2014,"North Sea Ice Level",-0.35
"37",2015,"North Sea Ice Level",-0.83
"38",2016,"North Sea Ice Level",-1.06
"39",2017,"North Sea Ice Level",-0.95
"40",2018,"North Sea Ice Level",-0.82
"41",2019,"North Sea Ice Level",-1.4
"42",2020,"North Sea Ice Level",-1.36
"43",2021,"North Sea Ice Level",-0.72
"44",2022,"North Sea Ice Level",-0.44
"45",1979,"South Sea Ice Level",-0.14
"46",1980,"South Sea Ice Level",-0.03
"47",1981,"South Sea Ice Level",-0.1
"48",1982,"South Sea Ice Level",-0.05
"49",1983,"South Sea Ice Level",-0.59
"50",1984,"South Sea Ice Level",0.09
"51",1985,"South Sea Ice Level",-0.21
"52",1986,"South Sea Ice Level",-0.84
"53",1987,"South Sea Ice Level",-0.24
"54",1988,"South Sea Ice Level",-0.28
"55",1989,"South Sea Ice Level",-0.37
"56",1990,"South Sea Ice Level",-0.27
"57",1991,"South Sea Ice Level",-0.12
"58",1992,"South Sea Ice Level",-0.11
"59",1993,"South Sea Ice Level",-0.35
"60",1994,"South Sea Ice Level",0
"61",1995,"South Sea Ice Level",-0.06
"62",1996,"South Sea Ice Level",-0.1
"63",1997,"South Sea Ice Level",-0.16
"64",1998,"South Sea Ice Level",0.04
"65",1999,"South Sea Ice Level",0.12
"66",2000,"South Sea Ice Level",0.37
"67",2001,"South Sea Ice Level",-0.42
"68",2002,"South Sea Ice Level",-0.77
"69",2003,"South Sea Ice Level",-0.26
"70",2004,"South Sea Ice Level",0.17
"71",2005,"South Sea Ice Level",0.08
"72",2006,"South Sea Ice Level",0.26
"73",2007,"South Sea Ice Level",-0.16
"74",2008,"South Sea Ice Level",-0.2
"75",2009,"South Sea Ice Level",0.26
"76",2010,"South Sea Ice Level",0.77
"77",2011,"South Sea Ice Level",-0.03
"78",2012,"South Sea Ice Level",0.26
"79",2013,"South Sea Ice Level",0.82
"80",2014,"South Sea Ice Level",1.07
"81",2015,"South Sea Ice Level",-0.09
"82",2016,"South Sea Ice Level",0.05
"83",2017,"South Sea Ice Level",-0.62
"84",2018,"South Sea Ice Level",-0.42
"85",2019,"South Sea Ice Level",-0.36
"86",2020,"South Sea Ice Level",-0.08
"87",2021,"South Sea Ice Level",0.35
"88",2022,"South Sea Ice Level",-0.87
